,user,time,text,likes,comments,repost,share,url
10,my_woo____ul,2024-08-24,선팔 고맙습니다 자주 소통해요11,1.0,1.0,,,https://www.threads.net/@my_woo____ul/post/C-2uAGtTJjJ
11,rok2_127,2024-08-24,네 받아주셔서 감사해요😁11,1.0,1.0,,,https://www.threads.net/@my_woo____ul/post/C-2uAGtTJjJ
12,my_woo____ul,2024-08-24,먼저 선팔해주시는게 더 감사할 따름이죠 ㅎㅎ11,1.0,1.0,,,https://www.threads.net/@my_woo____ul/post/C-2uAGtTJjJ
13,rok2_127,2024-08-24,ㅎㅎ 잘 부탁드려요😚😚11,1.0,1.0,,,https://www.threads.net/@my_woo____ul/post/C-2uAGtTJjJ
14,getoverit.5,2024-09-18,기다릴게1,1.0,,,,https://www.threads.net/@my_woo____ul/post/C-2uAGtTJjJ
15,gaon_brow_,2024-09-24,스팔 하고 가~~^^1,1.0,,,,https://www.threads.net/@my_woo____ul/post/C-2uAGtTJjJ
16,amazef1,2024-09-25,힘들겠다......😞1,1.0,,,,https://www.threads.net/@iseohyeon3002/post/DATDJuSyzOa
17,cheddeck,2024-09-25,안가면 됨,,,,,https://www.threads.net/@iseohyeon3002/post/DATDJuSyzOa
18,beobtong,2024-09-25,명복을 빌어주세요,,,,,https://www.threads.net/@iseohyeon3002/post/DATDJuSyzOa
19,lee_jjongeun,2024-09-25,"뭘 어떻게 좋은곳가라고
기도해주면되지🙏",,,,,https://www.threads.net/@iseohyeon3002/post/DATDJuSyzOa
20,thejmstyle,2024-09-19,"학폭당하고 있었던거야?😡
어디에다가 신고한거야?
학교말고 기관에 해야해
부모님은 아시고?
맘 먹은김에 더 용기내서 꼭 신고해1",1.0,,,,https://www.threads.net/@iseohyeon3002/post/DAFjq8hyuWW
21,amazef1,2024-09-19,서현아 힘내!11,1.0,1.0,,,https://www.threads.net/@iseohyeon3002/post/DAFjq8hyuWW
22,iseohyeon3002,2024-09-19,고마워..12,1.0,2.0,,,https://www.threads.net/@iseohyeon3002/post/DAFjq8hyuWW
23,_puum_kinn_,2024-09-17,나도 눈물날거 같아. 부럽다. 그렇게 위로해 주는 가족이 있다는게 너무 부럽고 스치니는 이제 괜찮은지 궁금해.4,4.0,,,,https://www.threads.net/@iseohyeon3002/post/DAAFFZYSe42
24,miapilates.brisbane,2024-09-18,이와중에 안아주는 오빠가 젤 부럽다. 나도 가족들중 한명이라도 그렇게 말하며 안아주는 사람 있었음 금방 이겨낼수 있었을까81,8.0,1.0,,,https://www.threads.net/@iseohyeon3002/post/DAAFFZYSe42
25,iseohyeon3002,2024-09-18,나도 오빠가 없었으면 이 세상에 없었을지도 몰라4,4.0,,,,https://www.threads.net/@iseohyeon3002/post/DAAFFZYSe42
26,amazef1,2024-09-17,서현아 사룽해🥰🥰🥰🥰🥰🥰❤️11,1.0,1.0,,,https://www.threads.net/@iseohyeon3002/post/DAAFFZYSe42
27,iseohyeon3002,2024-09-17,❤️1,1.0,,,,https://www.threads.net/@iseohyeon3002/post/DAAFFZYSe42
28,thejmstyle,2024-09-17,"와 나도...너무 부럽다
멋지고 든든한오빠 스치니는 좋겠어
식구 한명이라도 저런사람 있었다면
난 십몇년동안 고생안했을텐데😅
지금은 어때? 괜찮아?41",4.0,1.0,,,https://www.threads.net/@iseohyeon3002/post/DAAFFZYSe42
29,iseohyeon3002,2024-09-18,지금은 좀 나아졌어…근데 오빠가 이제 없어서 마움이좀 불편하다..11,1.0,1.0,,,https://www.threads.net/@iseohyeon3002/post/DAAFFZYSe42
30,thejmstyle,2024-09-18,"스치니 다른글보니 힘든상황 모르고 
부럽다고만 했네 미안해
무슨일인지 모르겠지만
스치니도 지금 힘든시간을 보내고있구나
그동안 많이 힘들었겠다
그 아픈시간 참느라 고생많았어
그 아픈시간 버텨내느라 고생많았어
아직도 앞길이 보이지않아
힘든길을 걷고 있는거지?
이제 혼자 걷지말고 같이걷자
같이 걸어줄 수 있지? 😊12",1.0,2.0,,,https://www.threads.net/@iseohyeon3002/post/DAAFFZYSe42
31,viviqqwe,2024-09-18,"오빠는 친오빠? 미안 내 티라 미숙해
그리고 그동안 고생했다 힘들땐 글써~ 너의 우울함 같이 나누어 없애버리자!!!11",1.0,1.0,,,https://www.threads.net/@iseohyeon3002/post/DAAFFZYSe42
32,iseohyeon3002,2024-09-18,응..,,,,,https://www.threads.net/@iseohyeon3002/post/DAAFFZYSe42
33,sizuku86,2024-09-18,우울증이 주변의 이해가 은근 도움이 많이 되는데 멋진 오빠를 뒀다!1,1.0,,,,https://www.threads.net/@iseohyeon3002/post/DAAFFZYSe42
34,lumongshop,2024-09-17,좋은 오빠구나. 가족들이 이해하고 보듬어줘서 다행이다. 난 그러질 못해서 혼자 이겨낸다고 넘 힘들었는데 ㅜㅜ91,9.0,1.0,,,https://www.threads.net/@iseohyeon3002/post/DAAFFZYSe42
35,iseohyeon3002,2024-09-18,오빠가 없었다면….난 어떻게 됬을까?1,1.0,,,,https://www.threads.net/@iseohyeon3002/post/DAAFFZYSe42
36,somi2road,2024-09-17,바로 갈 수 있어서 다행이야. 치료 잘 받고 조금씩 스치니 마음이 행복해지는 일들이 더 생겨가길 응원할게.11,1.0,1.0,,,https://www.threads.net/@iseohyeon3002/post/DAAFFZYSe42
37,iseohyeon3002,2024-09-18,고마워,,,,,https://www.threads.net/@iseohyeon3002/post/DAAFFZYSe42
38,jaebirdinbg,2024-09-18,약물치료 필요하면 해도 돼.1,1.0,,,,https://www.threads.net/@iseohyeon3002/post/DAAFFZYSe42
39,juhui_park,2024-09-18,가족들이 지지해줘서 👍11,1.0,1.0,,,https://www.threads.net/@iseohyeon3002/post/DAAFFZYSe42
40,iseohyeon3002,2024-09-18,그게 내 행복이야1,1.0,,,,https://www.threads.net/@iseohyeon3002/post/DAAFFZYSe42
41,2016mayple,2024-09-18,약 먹으면 도움 될텐데.약 먹어1,1.0,,,,https://www.threads.net/@iseohyeon3002/post/DAAFFZYSe42
42,tinawowjang,2024-09-17,에고!!‘ 토닥토닥!11,1.0,1.0,,,https://www.threads.net/@iseohyeon3002/post/DAAFFZYSe42
43,iseohyeon3002,2024-09-18,ㅋㅋ토닥토닥1,1.0,,,,https://www.threads.net/@iseohyeon3002/post/DAAFFZYSe42
44,kohkyoung64,2024-09-18,약 먹으면 한결 편해질거야.1,1.0,,,,https://www.threads.net/@iseohyeon3002/post/DAAFFZYSe42
45,ryuseola111,2024-09-18,힘내자!!!1,1.0,,,,https://www.threads.net/@iseohyeon3002/post/DAAFFZYSe42
46,summer_min.i,2024-09-18,참 좋은 오빠1,1.0,,,,https://www.threads.net/@iseohyeon3002/post/DAAFFZYSe42
47,bellhundred,2024-09-17,"항상 누군가는 내 행동을 싫어하기 마련이지. 무시하고 하고 싶은 대로 울기도, 화내기도, 웃기도 하거나 하지 않고 살아도 돼. 어차피 그 누군가가 내 인생 대신 살아줄 것도 아니잖아?22",2.0,2.0,,,https://www.threads.net/@iseohyeon3002/post/C__TW5DTwRK
48,mlle_0927,2024-09-17,"더쏟아내길 바라.
더이상 쏟아낼게없을정도로
얼마나걸려도상관없으니까.11",1.0,1.0,,,https://www.threads.net/@iseohyeon3002/post/C__S2dPTh_-
49,iseohyeon3002,2024-09-18,응….1,1.0,,,,https://www.threads.net/@iseohyeon3002/post/C__S2dPTh_-
50,h_y_o_y_o,2024-09-18,응원할게✨11,1.0,1.0,,,https://www.threads.net/@iseohyeon3002/post/C__S2dPTh_-
51,iseohyeon3002,2024-09-18,고마워1,1.0,,,,https://www.threads.net/@iseohyeon3002/post/C__S2dPTh_-
52,sky_fly.1,2024-09-18,울서한게 뭐임?? 신조어야??11,1.0,1.0,,,https://www.threads.net/@iseohyeon3002/post/C__S2dPTh_-
53,iseohyeon3002,2024-09-18,울컥.오타났네,,,,,https://www.threads.net/@iseohyeon3002/post/C__S2dPTh_-
54,amazef1,2024-09-16,일루와 드루와1,1.0,,,,https://www.threads.net/@iseohyeon3002/post/C_8cPaRyNp6
55,shihyunssi,2024-09-16,"옆에서 같이있어주기가 말로위로하기보다 더 힘드니까
:) 그래도 지금은 같이있는걸1",1.0,,,,https://www.threads.net/@iseohyeon3002/post/C_8cPaRyNp6
56,jun_ismaname,2024-09-16,괜찬아 잘될거야 눈부신 미래가있어11,1.0,1.0,,,https://www.threads.net/@iseohyeon3002/post/C_8cPaRyNp6
57,iseohyeon3002,2024-09-16,나에겐 더이상 미래가 없어.하지만 걱정해줘서 고마워,,,,,https://www.threads.net/@iseohyeon3002/post/C_8cPaRyNp6
58,dove_where.r.u,2024-09-16,"인간도 옆에 가만히 있어주는 사람이면 그런 상대가 곧 생길 수 있을거다 구구!
나도 그런 비둘기가 되줘야겠다 99🕊11",1.0,1.0,,,https://www.threads.net/@iseohyeon3002/post/C_8cPaRyNp6
59,iseohyeon3002,2024-09-16,힘든 친구옆에서 그런사람이 되어주길☆1,1.0,,,,https://www.threads.net/@iseohyeon3002/post/C_8cPaRyNp6
60,amazef1,2024-09-16,서현아!!!!!! 넌 예쁜사람이야11,1.0,1.0,,,https://www.threads.net/@iseohyeon3002/post/C_8cPaRyNp6
61,iseohyeon3002,2024-09-17,그렇게 말해줘서 고마워⌒ー⌒1,1.0,,,,https://www.threads.net/@iseohyeon3002/post/C_8cPaRyNp6
62,amazef1,2024-09-16,"죽지마 난 오늘도 아무도모르게, 자살한 절친 때문에 오열했어. 10년 넘게 지났는데도 너무 힘들어 보고싶어서.11",1.0,1.0,,,https://www.threads.net/@iseohyeon3002/post/C_8cAHfSKG5
63,iseohyeon3002,2024-09-17,"나도 내가 5살때 암에걸려 세상을 떠난 친구가 있어.가끔씩 너무 힘들때 친구가 남겨준 팔지를 보고 가끔씩울어.그때 조금만 더 잘해줬다면,그때 마지막까지 편하게 가게 웃으면서 지낼껄,짜증내지 말걸.오늘 이 댓글보고 다시한번 더 속 원하게 울었어.고마워1",1.0,,,,https://www.threads.net/@iseohyeon3002/post/C_8cAHfSKG5
64,iseohyeon3002,2024-09-06,힘들다고…3,3.0,,,,https://www.threads.net/@iseohyeon3002/post/C_lGyJASiVd
65,iseohyeon3002,2024-09-06,1,,1.0,,,https://www.threads.net/@iseohyeon3002/post/C_lGyelyIC3
66,y.hs91,2024-11-11,"아플땐 병원을 가야해.
몸이든 마음이든, 보이던 보이지않던
아플땐 병원을 가서
주사를 맞고, 누워서 쉬고, 좋은 음식을 먹으면서 약을 챙기고,
스스로를 잘 돌봐야 내일이 있어.
그마저도 안되면 나를 방치하는거잖아..나 역시 크게 다르지않아.
그래도 이겨내겠다, 어차피 이싸움의 끝은 내가 이기는걸로 끝난다.
생각하면 전투의지가 오르더라.우리, 해보자.
지까짓 병 주제에..
그래봤자 나한텐 못이기지
생각하구!나도 요즘 최악이지만
어차피 내가 이긴다는 생각으로 전투준비 끝냈어.같이 힘내자 스친아♡",,,,,https://www.threads.net/@melora_gllomy/post/DCIKwWFTUps
67,moon_jasal,2024-11-06,"가장 아름다운 날, 모두가 설레여 하는 날
떠나지 마요1",1.0,,,,https://www.threads.net/@melora_gllomy/post/DCBjjDlBiFg
68,onwoojoo0901,2024-11-06,봄이 되어 꽃이 피는 걸 보자.1,1.0,,,,https://www.threads.net/@melora_gllomy/post/DCBjjDlBiFg
69,gyuri0212,2024-11-07,내년여름 싱그러운 새잎도 봐야지1,1.0,,,,https://www.threads.net/@melora_gllomy/post/DCBjjDlBiFg
70,dodibunnyclub,2024-11-06,그다음 봄날에 보들보들한 가디건 입을 날도 기다려보자3,3.0,,,,https://www.threads.net/@melora_gllomy/post/DCBjjDlBiFg
71,ker851013,2024-11-07,죽지마 겨울이지나면 봄이오고 봄에꽃도보고 봄바람도 살랑살랑 느끼면서 살아보자1,1.0,,,,https://www.threads.net/@melora_gllomy/post/DCBjjDlBiFg
72,love.sweet.caramel,2024-11-07,"그러지마
당신이 세상에서 사라져도
매미는 다시 땅에서 나와 매년 울어댈거고 
첫눈은 다시 설렘속에 매년 내릴거야
아무일도 없다는 듯이 돌아갈 세상인데
살아지는 그 마지막 순간까지 
다시 매년 그 찰나의 시간들을 누려봐야지1",1.0,,,,https://www.threads.net/@melora_gllomy/post/DCBjjDlBiFg
73,sampoo69,2024-11-07,"첫눈 내리면 봄날 아지랭이도 보고
봄비 내린 후 무지개도 떳나 기웃~
여름엔 시원한 수박 서걱서걱
가을 볕에 걸린 홍시감이 노을과 만나려나
그러고 기다려지지1",1.0,,,,https://www.threads.net/@melora_gllomy/post/DCBjjDlBiFg
74,ballgive_,2024-11-07,너때매 겨울이 싫어졌어,,,,,https://www.threads.net/@melora_gllomy/post/DCBjjDlBiFg
75,opa1818,2024-11-07,그러지마세요,,,,,https://www.threads.net/@melora_gllomy/post/DCBjjDlBiFg
76,hyehae55,2024-10-31,"마음의 근심•걱정만 없애버려도
수면제 이런 약 필요없이 곯아떨어지기 바쁠텐데
인간은 고도로 발달하는 현대 문명에서
이토록 고통을 받으며 하루하루를 나고 있구나..
태초의 인간은 수렵활동과 사냥을 할땐
누구보다 달콤한 꿈을 꾸며 잠을 이루었을텐데..",,,,,https://www.threads.net/@melora_gllomy/post/DBwLpr3hCeP
77,jianham9,2024-10-31,"힘듬을 다 헤아릴순 없지만 지금 느끼고있는 힘든
감정들 제가 다 덜어주고 싶을만큼 보면 맘이 아파요 더 아픈이유는 그럼에도 그 힘듬을 덜어줄수 없어서 그럼에도 힘듬은 스스로가 감당해야하기에더 마음이 아프고 미안해요 솔직히 저는 하람님의 힘듬 마음들 그리고 더 나아가 하루하루 힘겹다 는것을 알아요 저도 하루 하루가 너무 힘들어서 그 마음을 알거든요 언제 라도 이 힘든 세상에서 도망치고 싶은 벗어나고 싶은 그런마음, 그러면서도 너무 서러운 무서운 이 삶앞에서 얼마나 애쓰고 있는지 하람님의 마 음이슬퍼요. 암튼 하람님, 하람님 에대해서 하람 님이 적은 마음의 말 말고는 잘 모르는 하람님 에게 위로가 조금이라도 될지. 마음이 조금은 괜찮아질지 그건 모르지만 조금의말이라도
남겨요 ""더이상 아무런 힘이 남아있지않아도 
조금의 힘이라도 주고 싶어서요 하람님, 힘들 텐데도하루하루 최선을 다해줘서 고마워요 그리 고 나중에는 더 좋은 방법으로 나아가면 되는거 니까죄책감 갖지마요..",,,,,https://www.threads.net/@melora_gllomy/post/DBwLpr3hCeP
78,jianham9,2024-10-31,"처음부터 힘듬을 지혜롭게 이겨내는 사람은 없으니까 상처가나고 울기도하고 많
은 고난을 겪으면서 그 힘듬에대해서 더 알게 되는거니까 조금씩 천천히 하면 돼요 스스로의 힘든마음을 안아줄수 잇을때까지 물론 결국 안되더라도 하람님을 진심으로 응원하는사람 많으니까조금은 기적이 있을수도 있지않을까요 암튼 저는 기적을 바랄게요 응원할게요 하람님 너무 힘들지 않게 해달라고 힘듬을 덜어 줄수 있다면 힘듬을 잘아는 제가 가져가겠다고 진심을다해 하람님의 너무 힘든마음들, 응원할게요. 묵묵히 응원할게요.",,,,,https://www.threads.net/@melora_gllomy/post/DBwLpr3hCeP
79,coejimin2378,2024-10-31,"너무 힘드시겠어요..
뭐라 말씀은 못드리겠지만..
시간 내서 가벼운 산책이나 
운동을 한 번 해보세요
그러면 기분이 한 결 나아요
그리고 자기 자신을 너무 자책하지 않았으면해요..",,,,,https://www.threads.net/@melora_gllomy/post/DBwLpr3hCeP
80,k_cyber1388,2024-10-30,"질식해 버릴 만큼 마음이 너무 힘든 것 같아요.. 그간 어떻게 버텨오신 건지요.. 안타깝고 또 마음이 아프네요.. 작성자님 신뢰가 가는 사람과 대화를 하다보면 조금씩 안정감을 찾아가지 않을까 싶어요.. 자신에게 맞는 운동을 꾸준히 하는 것 좋은 것 같아요! 갑자기 부정적인 감정, 불안감이 느껴질때는 천천히 숨을 흡 들이쉬고 후 내쉬는 호흡도 도움이 될 것 같아요.. 어려운 시기가 지나가고 마음에 평온함이 깃들기를 바랍니다..",,,,,https://www.threads.net/@melora_gllomy/post/DBu6BoVBQlq
81,pinkintheblue,2024-10-29,"나도 문장 채우기 검사할 때 결국 못채우고 한참을 오열함.. 간호사가 그냥 건너띄라고 함. 몇년 뒤에 또 문장 검사를 했고.. 역시 채우지 못했어. 지금 까지도 채우지 못했어.검사를 다 채우지 않아도 돼.
그냥 그대로 들고가서 상담 받으면 돼.
상담사는 그 공백을 채우라고 강요하지 않아 그 공백이 의미하는 바를 선생님들은 알고 있더라구.2",2.0,,,,https://www.threads.net/@melora_gllomy/post/DBtUxQ6Bz2u
82,_juoni_,2024-10-29,"그래도 상담할 용기를 내었다니 대단해^^
난 병원에 가볼까 했는데 
아직까지도 고민중이거든..1",1.0,,,,https://www.threads.net/@melora_gllomy/post/DBtUxQ6Bz2u
83,pblabcoach,2024-10-29,트라우마 같은데....,,,,,https://www.threads.net/@melora_gllomy/post/DBtUxQ6Bz2u
84,pinkintheblue,2024-10-29,그리고 만약 다 채우라고 강요하는 곳이라면 댜른데 알아봐1,1.0,,,,https://www.threads.net/@melora_gllomy/post/DBtUxQ6Bz2u
85,hair_by_min,2024-10-30,"너 지금 좋지안아
왜 인지 모른다는건 더좋지안아
다시왜로돌아가서 왜인지찾고 
내가무얼참다가 잊엇는지
내가지금어떤상황인지
내마음 한마디라도 터놓아본적이
언제인지
정확히 찾아야해 아니면 이유도 모르고 
무너진다
급하다
못찾갯으면 디엠해2",2.0,,,,https://www.threads.net/@melora_gllomy/post/DBtUxQ6Bz2u
86,mindgymkorea,2024-10-29,그걸 할 수 있도록 도와주고 이끌어주고 기다려주고 북돋워주는게 상담사라는 존재야. 시간좀 흘려보내면 어때~ 한 번에 안되면 두 번 하는거고 안되면 그 담에 또 하는거고. 근데 내가 직접 목도한 걸 알려주자면 시간과 노력이 들지만 반드시 된다. 내 말 믿고 한번 도전해봐.1,1.0,,,,https://www.threads.net/@melora_gllomy/post/DBs3vz3BIDC
87,pinkintheblue,2024-10-29,"응 정신과 상담에 정답이 어딨겠어.. 
성실하게 임하지 않는거 아니고,
대답하기 싫은게 아니고,
차마 떠올리는 것도 입 밖으로 내뱉는 것도 불가능 할 수 있지.
의사선생님이나 상담사가 질문 할 수는 있어.
하지만 내가 말 할 준비가 되지 않았다면
솔직하게 대답하기 힘들다고 하면 돼.
그리고 정말 모르겠을 때도 있어, 도대체 뭘 말해야할지. 모르겠다고 정말 모르겠단 말이에요 라고 해도 돼.
그만큼 내가 또는 쓰니가 혼돈의 카오스에 있단 뜻 아닐까.. 
그걸 감히 누가 비난하겠어..!이제 그만 아프고 그만 힘들고 싶은 쓰니의 마음과 두려움도 느껴진다..용기내려고 살고싶다고 노력하는게 느껴져서 왠지 울컥하네..2",2.0,,,,https://www.threads.net/@melora_gllomy/post/DBs3vz3BIDC
88,pinkintheblue,2024-10-29,"그리구 정신과 의사선생님이나 상담치료사랑 얘기하다 화가 날때도 있고 티격태격 하기도 해. 지극히 자연스러운 과정이야.
어떻게 그 사람이 아무리 전문가라도 내 맘을 100% 바로 알아봐주겠어.
그리고 전문가의 쓴소리가 아직 내가 받아들이기 힘들어서 의견충돌이 생기기도 하고..
선생님이나 상담사의 말에 무조건 네네 하지 않아도 돼.
너무 두려워하지 말기를.. !2",2.0,,,,https://www.threads.net/@melora_gllomy/post/DBs3vz3BIDC
89,k_cyber1388,2024-10-29,"작성자님 글을 보니 안타깝고 또 마음이 아리네요.. 불안감 견뎌내느라 너무 마음 고생 많았겠어요.. 심호흡도 크게 해 보고, 글을 적어보며 불안한 마음 해소해 보았으면 좋을 것 같아요.. 어떤 심정으로 글을 쓰셨을까..생각하면 공감도 되고 어려움이 전해집니다.. 푹 쉬면서 에너지를 충전해보기를 바랍니다, 오늘 하루 수습하시면서 잘 견뎌내시기를 응원해요.",,,,,https://www.threads.net/@melora_gllomy/post/DBsNraVB7S6
90,cozybreath,2024-10-29,"이유없는 불안감을 잡아버리는 순간 불안은 내것이 되어버려. 우리는 이해하지 못하는 것을 이해하기 위해 내부를 뒤지기 시작하고 결국 나에게서 원인을 찾고 말아.
불안을 그냥 밖에서 울리는 자동차 경적소리, 바람에 날리는 머릿결이 간지럽히는 느낌, 시원한 공기, 내리쬐는 햇볕처럼 '의도가 없고 그냥 찾아오는 것'으로 여기고 ""아 좀 불안하네? 할 거 하자.""라며 그냥 내 할거 하면 제일 좋아.
단, 가만히 있기, 생각에 빠져들기, 원인 찾기를 제외한 활동을 하면 좋아.2",2.0,,,,https://www.threads.net/@melora_gllomy/post/DBsNraVB7S6
91,maryofnormandy,2024-07-07,"So beautiful marvelous sexy UNIC ♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️🤔  
번역하기1",1.0,,,,https://www.threads.net/@davidbowienews/post/C9F9ue-sY5b
92,maryofnormandy,2024-07-07,"So beautiful marvelous sexy UNIC ♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️🤔  
번역하기1",1.0,,,,https://www.threads.net/@davidbowienews/post/C9F9ue-sY5b
93,elenntimm,2024-07-09,😅,,,,,https://www.threads.net/@freud.intensifies/post/C9InpEIohz5
94,tenacioustart,2024-07-09,❤️,,,,,https://www.threads.net/@freud.intensifies/post/C9InpEIohz5
95,ivanafilcheva,2024-07-08,🤣🤣🤣,,,,,https://www.threads.net/@freud.intensifies/post/C9InpEIohz5
96,deirdre.assenza,2024-07-08,"I see zero problems  
번역하기2711",27.0,1.0,1.0,,https://www.threads.net/@freud.intensifies/post/C9InpEIohz5
97,heyyallfarm,2024-07-08,Same2,2.0,,,,https://www.threads.net/@freud.intensifies/post/C9InpEIohz5
98,poeta.gabito,2024-07-08,Gargalhei.,,,,,https://www.threads.net/@freud.intensifies/post/C9InpEIohz5
99,triciaferraz,2024-07-08,😅,,,,,https://www.threads.net/@freud.intensifies/post/C9InpEIohz5
100,elenntimm,2024-07-09,😅,,,,,https://www.threads.net/@freud.intensifies/post/C9InpEIohz5
101,tenacioustart,2024-07-09,❤️,,,,,https://www.threads.net/@freud.intensifies/post/C9InpEIohz5
102,ivanafilcheva,2024-07-08,🤣🤣🤣,,,,,https://www.threads.net/@freud.intensifies/post/C9InpEIohz5
103,deirdre.assenza,2024-07-08,"I see zero problems  
번역하기2711",27.0,1.0,1.0,,https://www.threads.net/@freud.intensifies/post/C9InpEIohz5
104,heyyallfarm,2024-07-08,Same2,2.0,,,,https://www.threads.net/@freud.intensifies/post/C9InpEIohz5
105,triciaferraz,2024-07-08,😅,,,,,https://www.threads.net/@freud.intensifies/post/C9InpEIohz5
106,poeta.gabito,2024-07-08,Gargalhei.,,,,,https://www.threads.net/@freud.intensifies/post/C9InpEIohz5
107,detox0103,2024-07-07,저도 의사샘이 입원하라고 했는데 엄마 간병때문에 못하고 약까지 못먹었더니 더 심해졌는데 입원하니까 어떠세요?1,1.0,,,,https://www.threads.net/@ibfci/post/C9E5afyRDXC
108,custom0518,2024-07-07,뭐.. 아파서 입원하는거니 빨리 나아지길 바래야지 ㅎㅎ 토닥토닥,,,,,https://www.threads.net/@ibfci/post/C9E5afyRDXC
109,mj__um,2024-07-07,휴대폰 소지가 가능해요? 제 지인은 안된다고 하더라고요,,,,,https://www.threads.net/@ibfci/post/C9E5afyRDXC
110,menzeh_,2024-07-06,몸 성하게 퇴원하시고 또 일상에서 뵙길 바라요,,,,,https://www.threads.net/@ibfci/post/C9E5afyRDXC
111,kim_minseong88,2024-07-06,치료 잘받고 나와~ 정신병원 도시에 있어?,,,,,https://www.threads.net/@ibfci/post/C9E5afyRDXC
112,jaebin1ee,2024-07-06,힙한데요 응원합니다잇3,3.0,,,,https://www.threads.net/@ibfci/post/C9E5afyRDXC
113,rse1853,2024-07-06,행복하길 바라요. 저한테도 그렇게 이야기 하셨으니까요!! 꼭이요..!!!,,,,,https://www.threads.net/@ibfci/post/C9E5afyRDXC
114,_jelsomina,2024-07-06,냉방은 빵빵한가요?,,,,,https://www.threads.net/@ibfci/post/C9E5afyRDXC
115,cjdthddl77,2024-07-07,왜입원하신거예요?,,,,,https://www.threads.net/@ibfci/post/C9E5afyRDXC
116,jiopp8490,2024-07-06,치료 잘하시고 일상복귀 하시길바랍니다!,,,,,https://www.threads.net/@ibfci/post/C9E5afyRDXC
117,yejjiolin,2024-07-06,잘 쉬고 치료 잘 받고 와요 기다릴게요 연!,,,,,https://www.threads.net/@ibfci/post/C9E5afyRDXC
118,jelloo25,2024-07-06,그 단어에 다 이상하게 보이네요! 정신적으로 힘든 시기인거 같네요! 빨리 쾌유 하시길,,,,,https://www.threads.net/@ibfci/post/C9E5afyRDXC
119,swkim8888,2024-07-06,아고... 이런 ㅠㅜ1,1.0,,,,https://www.threads.net/@ibfci/post/C9E5afyRDXC
120,kwon_whale,2024-07-06,행복하세요,,,,,https://www.threads.net/@ibfci/post/C9E5afyRDXC
121,yhy8007,2024-07-06,"그냥 잠시 마음이 안좋아 요양하러 가셨다 생각하시고, 맘 편하게 쉬시다 온다 생각하십시다요..1",1.0,,,,https://www.threads.net/@ibfci/post/C9E5afyRDXC
122,suuang_04,2024-07-06,ㅜㅠ1,1.0,,,,https://www.threads.net/@ibfci/post/C9E5afyRDXC
